企业代号,是否违约,信誉评级_A,信誉评级_B,信誉评级_C,信誉评级_D
E1,0,1,0,0,0
E2,0,1,0,0,0
E3,0,0,0,1,0
E4,0,0,0,1,0
E5,0,0,1,0,0
E6,0,1,0,0,0
E7,0,1,0,0,0
E8,0,1,0,0,0
E9,0,1,0,0,0
E10,0,0,1,0,0
E11,0,0,0,1,0
E12,0,0,1,0,0
E13,0,1,0,0,0
E14,0,0,0,1,0
E15,0,1,0,0,0
E16,0,1,0,0,0
E17,0,1,0,0,0
E18,0,1,0,0,0
E19,0,1,0,0,0
E20,0,0,1,0,0
E21,0,0,1,0,0
E22,0,1,0,0,0
E23,0,0,1,0,0
E24,0,1,0,0,0
E25,0,0,0,1,0
E26,0,1,0,0,0
E27,0,1,0,0,0
E28,0,0,1,0,0
E29,1,0,0,1,0
E30,0,0,1,0,0
E31,0,1,0,0,0
E32,0,0,1,0,0
E33,0,0,1,0,0
E34,0,0,1,0,0
E35,0,0,1,0,0
E36,1,0,0,0,1
E37,0,0,1,0,0
E38,0,0,1,0,0
E39,0,0,0,1,0
E40,0,0,0,1,0
E41,0,0,0,1,0
E42,0,1,0,0,0
E43,0,0,1,0,0
E44,0,0,0,1,0
E45,1,0,1,0,0
E46,0,0,0,1,0
E47,0,0,0,1,0
E48,0,1,0,0,0
E49,0,0,0,1,0
E50,0,0,0,1,0
E51,0,0,1,0,0
E52,1,0,0,0,1
E53,0,0,0,1,0
E54,0,1,0,0,0
E55,0,0,0,1,0
E56,0,0,0,1,0
E57,0,0,1,0,0
E58,0,0,1,0,0
E59,0,1,0,0,0
E60,0,0,1,0,0
E61,0,0,1,0,0
E62,0,0,1,0,0
E63,0,0,1,0,0
E64,0,1,0,0,0
E65,0,0,1,0,0
E66,0,0,1,0,0
E67,0,0,1,0,0
E68,0,0,0,1,0
E69,0,0,0,1,0
E70,0,0,1,0,0
E71,0,0,1,0,0
E72,0,0,0,1,0
E73,0,0,0,1,0
E74,0,0,1,0,0
E75,0,0,0,1,0
E76,0,0,1,0,0
E77,0,0,0,1,0
E78,0,0,0,1,0
E79,0,0,1,0,0
E80,0,0,0,1,0
E81,0,1,0,0,0
E82,1,0,0,0,1
E83,0,0,1,0,0
E84,0,1,0,0,0
E85,0,0,1,0,0
E86,0,0,0,1,0
E87,1,0,0,1,0
E88,0,1,0,0,0
E89,0,1,0,0,0
E90,0,0,0,1,0
E91,0,1,0,0,0
E92,0,0,0,1,0
E93,0,0,1,0,0
E94,0,0,0,1,0
E95,0,0,1,0,0
E96,0,0,0,1,0
E97,0,0,1,0,0
E98,0,0,1,0,0
E99,1,0,0,0,1
E100,1,0,0,0,1
E101,1,0,0,0,1
E102,1,0,0,0,1
E103,1,0,0,0,1
E104,0,0,0,1,0
E105,0,0,0,1,0
E106,0,0,1,0,0
E107,1,0,0,0,1
E108,1,0,0,0,1
E109,1,0,0,0,1
E110,0,0,0,1,0
E111,1,0,0,0,1
E112,1,0,0,0,1
E113,1,0,0,0,1
E114,1,0,0,0,1
E115,1,0,0,0,1
E116,1,0,0,0,1
E117,1,0,0,0,1
E118,1,0,0,0,1
E119,1,0,0,0,1
E120,1,0,0,0,1
E121,1,0,0,0,1
E122,1,0,0,0,1
E123,1,0,0,0,1
